,Nome,Sexo,CPF,Idade,Email,Nota Enem,CRA2,CRA4,CRA6,Abandonou,Semestre Abandonou
254,Luiz Henrique Moreira,Masculino,071.328.496-03,22,raquelcardoso@example.org,677,6.34,6.51,5.91,False,
255,Lívia Aragão,Feminino,813.726.059-59,25,muriloviana@example.org,675,9.24,7.11,9.58,False,
256,Ana Sophia Pinto,Feminino,710.694.582-01,23,woliveira@example.net,780,,,,True,1.0
257,Luiz Henrique Barros,Masculino,270.941.836-31,23,jesusemanuella@example.org,728,5.41,6.38,9.83,False,
258,Marcos Vinicius Viana,Masculino,408.362.579-10,18,cavalcantivitoria@example.com,789,6.5,5.11,,True,6.0
259,Davi Lucca Campos,Masculino,617.302.594-99,23,azevedojoao-guilherme@example.net,654,9.22,9.0,6.13,False,
260,Antônio Fernandes,Masculino,108.324.679-87,27,raquel45@example.com,783,8.04,6.75,6.53,False,
261,Sarah Ramos,Feminino,673.195.824-73,22,leonardo89@example.com,740,5.61,5.84,6.75,False,
262,Paulo Fernandes,Masculino,893.157.624-28,27,bianca28@example.org,760,8.48,6.91,,True,5.0
263,João Vitor Moraes,Masculino,698.074.123-31,25,qcampos@example.com,770,9.47,8.95,6.63,False,
264,Isis Caldeira,Feminino,198.507.264-58,21,fariasmaria-clara@example.org,686,8.11,5.25,7.33,False,
265,João Felipe Ribeiro,Masculino,647.298.301-13,28,uda-cunha@example.org,781,6.55,6.41,7.23,False,
266,Sra. Bruna da Mata,Feminino,542.109.687-49,24,da-mataalana@example.org,755,,,,True,1.0
267,Thomas Caldeira,Masculino,479.258.016-11,19,lorenzo72@example.com,740,,,,True,1.0
268,Dra. Kamilly Pereira,Feminino,453.817.926-46,26,vazevedo@example.net,715,8.22,9.61,6.67,False,
269,Srta. Camila Oliveira,Feminino,793.152.608-21,27,rodriguescaue@example.net,649,9.5,6.13,7.76,False,
270,Letícia Castro,Feminino,438.501.627-53,22,jesusbeatriz@example.org,692,7.88,7.87,6.77,False,
271,Caroline da Cruz,Feminino,680.514.237-71,28,alexandrerezende@example.com,683,6.45,,,True,3.0
272,Letícia Oliveira,Feminino,467.982.035-74,28,cecilia25@example.org,776,9.42,9.34,6.05,False,
273,Dr. Pedro Lucas Gomes,Masculino,096.154.278-02,18,otaviodias@example.net,776,7.17,8.42,5.28,False,
274,Joaquim da Mota,Masculino,930.264.781-13,22,pcosta@example.com,758,,,,True,1.0
275,Emanuel Nunes,Masculino,508.429.763-29,18,luiz-fernandocorreia@example.org,695,9.69,9.84,7.15,False,
276,Thomas da Costa,Masculino,948.150.273-23,20,da-conceicaomarcela@example.com,773,9.76,6.92,9.56,False,
277,Calebe Pinto,Masculino,976.230.584-10,25,ana-carolina05@example.org,721,8.13,9.88,9.01,False,
278,Luiz Henrique Barbosa,Masculino,769.254.830-74,26,kevin10@example.org,756,5.36,9.41,7.82,False,
279,Emilly Gonçalves,Feminino,370.496.528-65,19,ovieira@example.com,748,8.38,5.5,7.69,False,
280,Laura da Costa,Feminino,820.436.571-35,21,silvavitoria@example.com,743,8.25,9.79,5.27,False,
281,Lívia Castro,Feminino,758.043.621-35,26,clararamos@example.com,681,9.97,7.66,7.05,False,
282,Bruno Monteiro,Masculino,325.971.804-41,18,silvadaniel@example.org,714,6.24,5.58,8.68,False,
283,Maria Alice da Cruz,Feminino,349.287.601-31,20,lopesmatheus@example.com,754,8.14,5.68,7.31,False,
284,Julia Porto,Feminino,692.408.153-33,18,fariaspaulo@example.net,729,,,,True,2.0
285,Cauã Duarte,Masculino,146.093.528-42,21,asilveira@example.com,686,5.92,5.99,,True,6.0
286,Beatriz Novaes,Feminino,018.765.432-80,20,claricelima@example.net,650,5.07,7.97,5.31,False,
287,Murilo Castro,Masculino,781.605.294-49,26,moliveira@example.org,702,7.38,8.4,9.23,False,
288,Alexia Nascimento,Feminino,863.927.015-59,28,gabriela55@example.com,679,,,,True,2.0
289,Enzo Gabriel Teixeira,Masculino,765.349.028-00,20,pjesus@example.org,663,9.11,7.68,6.27,False,
290,Alexia Nascimento,Feminino,759.603.421-70,28,kvieira@example.org,669,9.43,9.75,7.36,False,
291,Daniel Mendes,Masculino,906.781.345-10,24,nsilva@example.org,692,7.13,7.97,5.07,False,
292,Mirella Alves,Feminino,368.541.072-53,21,ana-laura61@example.com,663,6.35,9.04,6.78,False,
293,Ryan Porto,Masculino,574.398.162-00,18,hmoreira@example.com,701,9.36,6.58,7.12,False,
294,Cauã Fogaça,Masculino,697.804.135-10,26,xfernandes@example.net,704,8.69,7.87,7.07,False,
295,Vitor Hugo Rezende,Masculino,895.713.024-14,20,pedro-miguelda-costa@example.net,643,6.3,7.97,8.41,False,
296,Maria Cecília Gomes,Feminino,436.017.859-00,26,ida-cunha@example.com,675,7.27,6.01,,True,6.0
297,Carolina Ribeiro,Feminino,503.294.781-41,27,leticiasilveira@example.com,794,5.19,9.79,8.12,False,
298,Luiz Gustavo Porto,Masculino,942.086.713-78,19,santosdavi-luiz@example.com,737,5.47,8.07,5.64,False,
299,Heloísa Moraes,Feminino,549.832.706-47,24,pedro-henriquenascimento@example.com,659,,,,True,2.0
300,Srta. Ana Clara Nascimento,Feminino,754.018.396-93,27,ncardoso@example.com,719,8.17,,,True,4.0
301,João Gabriel Dias,Masculino,908.315.764-48,22,mouracaua@example.com,720,9.04,6.8,5.49,False,
302,Gabriel Silva,Masculino,851.230.679-30,19,santosdaniela@example.net,689,5.6,5.89,6.82,False,
303,João Felipe Santos,Masculino,186.592.047-94,28,da-cunhaalana@example.org,698,8.84,7.5,,True,5.0
304,Emanuelly Caldeira,Feminino,056.792.184-02,22,diogodias@example.com,652,8.24,8.0,7.04,False,
305,Paulo Fogaça,Masculino,196.538.724-19,18,davi-lucca44@example.org,697,6.84,9.83,9.59,False,
306,Luiza Martins,Feminino,290.453.671-06,26,kaique51@example.net,708,7.96,,,True,4.0
307,Leonardo Santos,Masculino,492.015.638-33,28,fernando67@example.net,693,9.28,,,True,3.0
308,Srta. Laís Porto,Feminino,528.790.631-59,28,pereirapedro@example.net,688,6.83,9.65,8.94,False,
309,Felipe Vieira,Masculino,609.854.137-00,18,da-mataluigi@example.org,767,9.74,9.32,5.2,False,
310,Amanda Ferreira,Feminino,301.627.854-53,18,lauramoraes@example.com,686,7.9,6.51,8.59,False,
311,João Vitor Mendes,Masculino,012.879.643-03,23,ryanjesus@example.net,789,9.56,8.82,7.62,False,
312,Stephany Silva,Feminino,357.928.016-30,23,yasmin86@example.com,795,,,,True,2.0
313,Dr. Eduardo Cardoso,Masculino,675.182.903-59,24,pintothiago@example.com,780,7.51,8.49,,True,6.0
314,Luana Azevedo,Feminino,573.289.061-03,22,castroana-vitoria@example.org,780,8.88,7.42,6.86,False,
315,Maitê Lima,Feminino,593.461.807-57,25,cavalcantipedro-henrique@example.net,706,9.63,6.29,6.78,False,
316,Lara Ferreira,Feminino,562.710.348-53,20,sarah30@example.org,680,5.51,5.39,,True,6.0
317,Lucas Azevedo,Masculino,983.607.415-57,25,rodrigofarias@example.net,750,9.26,9.83,,True,6.0
318,Lucas Cardoso,Masculino,529.830.617-95,27,da-pazluigi@example.org,749,8.56,9.47,6.91,False,
319,Thales Fernandes,Masculino,562.934.187-19,19,luiz-miguel68@example.net,798,6.24,,,True,4.0
320,Vicente da Rocha,Masculino,725.348.169-00,18,nicole48@example.net,764,9.32,5.5,9.41,False,
321,Júlia Fernandes,Feminino,683.972.145-00,20,vda-mota@example.com,732,6.87,5.85,9.44,False,
322,Joaquim Nascimento,Masculino,872.504.691-85,27,yvieira@example.net,800,8.63,7.86,7.26,False,
323,Sr. Eduardo Viana,Masculino,971.345.260-70,24,enascimento@example.org,710,9.9,5.55,7.51,False,
324,Caio da Cruz,Masculino,168.497.503-48,28,ramoskevin@example.com,700,5.48,8.79,,True,5.0
325,Maria Eduarda da Rosa,Feminino,782.360.951-77,24,barbosacaroline@example.net,775,8.98,9.3,6.65,False,
326,Dr. Luiz Fernando Pires,Masculino,075.428.369-00,24,sabrina18@example.org,782,9.16,7.3,7.29,False,
327,Sr. André da Paz,Masculino,137.250.489-32,27,zcardoso@example.net,658,7.26,9.15,6.78,False,
328,Sophia Novaes,Feminino,479.325.081-50,21,estherrocha@example.org,663,9.12,6.25,6.73,False,
329,Davi da Luz,Masculino,452.087.619-20,19,ana-liviaaragao@example.org,693,9.66,5.46,6.86,False,
330,João Felipe Rezende,Masculino,548.730.216-26,20,emanuella77@example.org,798,8.05,7.13,9.26,False,
331,Gabriela Farias,Feminino,268.793.054-74,21,yasmin99@example.org,781,7.82,5.65,,True,5.0
332,Marcelo Aragão,Masculino,378.169.250-77,20,almeidamelissa@example.com,726,9.39,,,True,4.0
333,Henrique Duarte,Masculino,658.392.014-05,21,nicolelopes@example.com,667,8.76,,,True,3.0
334,Matheus Correia,Masculino,930.825.671-77,21,fda-rocha@example.net,652,8.36,5.75,5.69,False,
335,Maria Vitória Cardoso,Feminino,051.426.397-07,25,lunaoliveira@example.org,785,8.67,9.38,6.38,False,
336,Gustavo Henrique Cardoso,Masculino,435.827.096-47,26,alvessabrina@example.com,739,9.83,5.27,5.54,False,
337,Nathan Dias,Masculino,019.724.358-41,27,qrocha@example.com,773,7.39,6.72,6.28,False,
338,Dr. Joaquim Mendes,Masculino,178.945.063-20,19,freitasgabriela@example.org,752,5.68,9.24,,True,5.0
339,Lucas Gabriel Gomes,Masculino,327.159.084-23,28,peixotokaique@example.com,646,7.14,6.65,7.86,False,
340,Bernardo Souza,Masculino,541.360.287-17,22,santosemanuel@example.com,738,7.91,8.31,9.72,False,
341,Diego Sales,Masculino,679.825.401-20,24,rodriguessarah@example.com,726,6.22,5.43,8.04,False,
342,Bruna Monteiro,Feminino,603.582.497-83,25,gomesbruno@example.com,654,5.25,9.64,7.85,False,
343,Alexia Teixeira,Feminino,248.317.605-44,27,oramos@example.com,687,6.16,8.19,6.9,False,
344,Maria Cecília Cardoso,Feminino,563.094.182-89,28,marianedas-neves@example.com,744,7.96,8.17,8.02,False,
345,Daniel Duarte,Masculino,214.708.695-94,18,gustavo-henrique26@example.org,793,9.2,,,True,3.0
346,Ana Laura Cunha,Feminino,725.319.806-95,28,ribeiromilena@example.org,674,9.8,9.34,9.69,False,
347,Maria Eduarda Moura,Feminino,296.401.583-05,24,caue87@example.com,799,7.69,8.62,5.97,False,
348,Augusto Rezende,Masculino,372.460.598-65,20,alicia28@example.net,706,6.98,7.53,7.19,False,
349,Luiz Henrique Silveira,Masculino,781.602.534-35,27,gmelo@example.com,653,9.32,6.75,,True,6.0
350,Mariana Martins,Feminino,342.017.658-90,24,zcavalcanti@example.org,725,5.87,5.0,7.66,False,
351,Mariana Castro,Feminino,529.601.874-58,25,maite48@example.org,671,5.81,9.93,5.3,False,
352,Sra. Daniela Viana,Feminino,617.308.429-50,19,castroheitor@example.com,726,9.31,6.66,7.11,False,
353,Sr. Isaac Costa,Masculino,108.649.532-24,18,peixotoclara@example.com,789,6.35,,,True,4.0
354,Elisa Ribeiro,Feminino,572.683.904-83,25,thalesfogaca@example.net,681,6.26,,,True,4.0
355,Agatha da Rosa,Feminino,940.163.528-51,18,castromelissa@example.org,666,5.42,6.57,,True,6.0
356,Dra. Agatha Gomes,Feminino,297.841.356-55,28,apinto@example.org,797,,,,True,1.0
357,Camila Pinto,Feminino,180.475.369-66,21,ferreiramurilo@example.com,750,8.65,7.22,9.7,False,
358,Theo Carvalho,Masculino,618.245.907-76,20,monteirocaua@example.net,700,,,,True,1.0
359,Lorena Novaes,Feminino,627.439.180-04,20,trocha@example.org,781,7.07,9.75,9.95,False,
360,João Felipe Almeida,Masculino,093.287.546-74,25,maria-luiza56@example.com,709,5.08,5.67,9.66,False,
361,Isabel Sales,Feminino,128.067.453-90,28,rezendevitoria@example.org,739,7.73,7.67,9.36,False,
362,Eduarda Lima,Feminino,765.824.913-00,25,brunobarbosa@example.net,775,5.95,7.79,9.49,False,
363,Maria da Rocha,Feminino,490.376.825-29,22,rezendecatarina@example.org,741,9.18,8.38,7.72,False,
364,João Vitor Moreira,Masculino,679.125.834-91,22,dteixeira@example.org,701,8.01,9.84,5.5,False,
365,Augusto Gomes,Masculino,365.971.084-93,19,maria-cecilia92@example.org,753,8.33,8.01,8.79,False,
366,Joaquim Castro,Masculino,349.108.765-10,21,laura48@example.com,740,,,,True,2.0
367,Yuri Silveira,Masculino,903.718.254-23,18,ana-sophiacunha@example.net,708,6.91,8.95,,True,6.0
368,Eduardo Nunes,Masculino,259.178.340-32,27,luigisilveira@example.com,741,6.29,7.63,7.41,False,
369,Guilherme Rezende,Masculino,438.910.576-01,21,stella06@example.com,640,6.66,9.64,8.78,False,
370,Isadora Fogaça,Feminino,362.081.795-21,20,maria-alice34@example.net,738,5.38,9.03,8.4,False,
371,Sarah Lopes,Feminino,793.510.846-39,20,felipenascimento@example.com,664,8.68,8.4,7.44,False,
372,Pietro Fernandes,Masculino,957.281.406-02,21,slima@example.com,761,,,,True,1.0
373,Pedro Miguel Moreira,Masculino,283.517.906-21,24,da-luzbarbara@example.net,670,7.61,9.47,6.47,False,
374,Sr. Rafael Araújo,Masculino,236.598.470-38,21,raulnogueira@example.com,675,8.92,6.4,9.34,False,
375,Augusto Barbosa,Masculino,917.320.864-78,27,augustorocha@example.org,716,7.8,,,True,4.0
376,Sra. Maria Vitória Farias,Feminino,326.748.159-73,28,manuela32@example.org,771,7.38,,,True,3.0
377,Luiz Felipe Aragão,Masculino,760.213.958-59,23,beatriz63@example.net,783,5.07,8.92,9.41,False,
378,Theo Cunha,Masculino,549.208.731-23,23,julia76@example.org,786,8.29,9.61,9.06,False,
379,Milena Sales,Feminino,213.085.467-26,19,enrico59@example.net,734,9.04,5.1,8.72,False,
380,Gustavo Ferreira,Masculino,106.587.492-85,28,daragao@example.org,785,6.79,7.39,6.2,False,
381,Emanuella Peixoto,Feminino,507.928.346-74,23,lda-mota@example.net,718,9.88,9.42,9.98,False,
382,Yago da Paz,Masculino,874.623.059-92,20,carlos-eduardoda-luz@example.org,785,8.68,8.94,8.98,False,
383,Sr. Bryan Cardoso,Masculino,034.719.852-04,27,poliveira@example.com,764,9.15,7.01,9.16,False,
384,Júlia Peixoto,Feminino,413.625.897-64,19,anthonymartins@example.com,781,9.5,6.85,7.62,False,
385,Elisa Cardoso,Feminino,876.021.593-30,20,lfarias@example.net,727,8.55,6.37,7.97,False,
386,Kamilly Lima,Feminino,592.703.814-04,20,pintoana-vitoria@example.net,735,5.37,9.66,7.14,False,
387,Leandro Barros,Masculino,209.631.574-34,24,pereiramarcela@example.org,794,5.43,6.41,7.18,False,
388,Stella Souza,Feminino,245.763.981-64,20,da-motajuan@example.net,652,6.93,5.49,9.91,False,
389,Natália Martins,Feminino,123.407.869-40,28,mpereira@example.com,653,5.09,5.22,9.65,False,
390,Alana Nascimento,Feminino,260.371.489-96,22,barrosisis@example.org,662,7.83,5.94,8.7,False,
391,Gustavo Rodrigues,Masculino,256.081.794-20,25,gomesrafaela@example.net,756,7.29,,,True,4.0
392,Sra. Julia Moreira,Feminino,492.067.851-76,19,ucorreia@example.com,790,8.67,7.4,,True,5.0
393,Mariane Nunes,Feminino,972.640.138-04,22,rezendebenicio@example.net,723,6.5,9.72,,True,6.0
394,Sr. Theo Almeida,Masculino,637.105.248-90,20,xda-rosa@example.net,761,9.58,8.23,6.46,False,
395,Joaquim Peixoto,Masculino,340.972.618-78,19,azevedokevin@example.org,663,7.69,,,True,3.0
396,Murilo Moraes,Masculino,647.208.193-03,21,elisafarias@example.com,682,6.79,,,True,3.0
397,Marcela Jesus,Feminino,075.429.386-65,23,lorenzomoreira@example.com,791,5.6,9.52,,True,5.0
398,Maria Aragão,Feminino,562.103.847-90,18,epinto@example.com,734,5.45,7.58,8.13,False,
399,Kaique Fernandes,Masculino,175.980.436-39,25,vlima@example.org,688,,,,True,2.0
400,Fernanda da Rocha,Feminino,704.325.918-50,19,nascimentolorena@example.net,783,7.13,,,True,3.0
401,Luiz Miguel Freitas,Masculino,926.308.547-10,18,nunesjoao-vitor@example.org,710,7.39,8.92,5.95,False,
402,Fernanda Gonçalves,Feminino,934.507.216-07,20,cavalcantibenjamin@example.org,790,,,,True,2.0
403,Dr. Vitor Hugo Moraes,Masculino,140.729.356-70,18,fogacasophie@example.com,652,7.13,6.28,5.07,False,
404,Maria Fernanda Silva,Feminino,248.960.571-20,20,camposluiz-gustavo@example.net,750,6.8,9.59,5.72,False,
405,Gabriel Cunha,Masculino,142.957.860-20,25,loliveira@example.net,675,5.14,,,True,4.0
406,Srta. Stella Gonçalves,Feminino,351.472.896-82,26,souzaluana@example.com,673,5.48,9.16,8.77,False,
407,Maria Clara Vieira,Feminino,460.713.925-43,26,ysouza@example.org,745,,,,True,2.0
408,Sr. Marcelo Ribeiro,Masculino,549.863.127-82,24,hmonteiro@example.com,694,5.51,9.95,,True,6.0
409,Maria Vitória da Cruz,Feminino,506.317.942-80,26,mbarros@example.net,743,5.85,7.03,7.94,False,
410,Rodrigo Moraes,Masculino,267.459.830-10,21,mendesvinicius@example.org,677,8.1,9.65,8.79,False,
411,Ana Laura Teixeira,Feminino,190.873.256-30,27,caroline39@example.com,653,9.12,6.81,7.44,False,
412,João Pedro da Conceição,Masculino,271.680.543-17,23,joaquim68@example.org,713,,,,True,1.0
413,Daniela Barbosa,Feminino,043.721.569-52,25,levimelo@example.org,728,8.21,,,True,3.0
414,Emanuel Rocha,Masculino,960.147.852-30,28,efreitas@example.org,642,6.89,7.59,5.28,False,
415,Dr. Vinicius Castro,Masculino,407.815.693-20,23,cavalcantidanilo@example.net,789,,,,True,1.0
416,Danilo Melo,Masculino,963.502.417-70,26,wazevedo@example.com,695,8.43,9.69,5.45,False,
417,Maria Fernanda Barros,Feminino,054.789.361-20,21,da-conceicaogiovanna@example.org,800,9.78,5.13,8.7,False,
418,Olivia da Paz,Feminino,635.804.792-29,21,isis68@example.com,640,9.32,5.43,8.59,False,
419,Augusto Monteiro,Masculino,604.721.358-80,19,pteixeira@example.com,763,7.92,8.22,9.14,False,
420,Erick Monteiro,Masculino,526.089.371-95,28,cunhapedro-henrique@example.com,647,5.25,8.42,7.15,False,
421,Rafaela Santos,Feminino,713.549.680-93,18,freitasrafael@example.net,688,6.46,5.89,6.16,False,
422,Enzo Alves,Masculino,140.968.253-60,22,benjaminrocha@example.com,725,8.68,5.62,5.54,False,
423,Manuela Rocha,Feminino,375.264.819-82,21,maria-sophianovaes@example.com,682,7.14,7.51,5.41,False,
424,Dra. Ana Carolina Jesus,Feminino,849.531.267-00,26,maria-luiza12@example.com,654,8.07,6.79,6.71,False,
425,Sr. Davi Lucas da Mota,Masculino,617.425.980-30,28,jfreitas@example.net,768,7.82,8.24,,True,5.0
426,Bianca Silva,Feminino,450.619.783-66,24,nunesana-carolina@example.net,755,9.57,9.49,5.11,False,
427,Davi Lucas das Neves,Masculino,436.721.095-25,23,meloalexia@example.net,649,8.33,8.53,7.87,False,
428,Anthony Viana,Masculino,940.576.283-47,26,peixotoleticia@example.org,678,8.72,9.98,6.88,False,
429,Juliana Gonçalves,Feminino,792.048.653-00,27,alexiamartins@example.com,776,7.54,9.41,8.0,False,
430,Srta. Valentina Campos,Feminino,154.902.386-15,28,hporto@example.net,712,9.81,6.87,9.32,False,
431,Igor Rezende,Masculino,631.247.985-46,20,joana21@example.org,675,9.56,9.58,9.09,False,
432,João Guilherme Rodrigues,Masculino,478.029.361-87,23,ana-livianogueira@example.com,795,9.48,,,True,3.0
433,Arthur Moura,Masculino,657.138.249-00,28,pietrada-rosa@example.com,654,5.31,7.37,,True,6.0
434,Marcos Vinicius Rodrigues,Masculino,184.765.039-20,25,marcos-viniciusazevedo@example.com,772,6.02,9.99,8.21,False,
435,Dr. Miguel Moura,Masculino,982.634.571-73,23,teixeirajoaquim@example.org,697,6.92,5.67,7.7,False,
436,Dr. Enzo Gabriel Dias,Masculino,174.893.605-01,28,olivia00@example.com,788,6.84,,,True,4.0
437,Isabelly Carvalho,Feminino,862.504.713-08,25,opeixoto@example.net,731,7.57,7.91,8.21,False,
438,Guilherme Melo,Masculino,592.368.740-29,26,wlima@example.com,742,8.99,7.8,,True,6.0
439,Thales Fernandes,Masculino,234.975.608-47,28,cunhaisis@example.com,727,8.98,7.91,5.06,False,
440,Lorenzo Gonçalves,Masculino,430.972.865-00,27,vcampos@example.net,773,6.54,5.03,9.11,False,
441,Sr. Thales Peixoto,Masculino,397.861.520-77,21,estherda-cunha@example.net,645,8.84,6.72,5.82,False,
442,Sra. Lavínia Azevedo,Feminino,803.641.259-42,18,benicio41@example.net,645,6.69,6.4,5.76,False,
443,Luigi Viana,Masculino,786.204.593-92,23,castromilena@example.com,755,5.54,5.51,8.92,False,
444,Sophie Sales,Feminino,654.792.103-43,26,luccabarros@example.com,684,7.57,7.25,5.61,False,
445,Eloah Alves,Feminino,086.912.537-03,27,ana-julia05@example.com,650,9.73,9.69,7.39,False,
446,Srta. Manuela Sales,Feminino,657.194.320-43,21,mteixeira@example.org,753,9.99,5.06,5.07,False,
447,Lucca Viana,Masculino,081.247.563-17,18,luigipinto@example.org,655,,,,True,2.0
448,Bruno Vieira,Masculino,635.801.792-68,21,luiz-miguel57@example.com,759,6.66,7.74,8.4,False,
449,Brenda Correia,Feminino,718.392.540-41,18,gabriel50@example.org,652,8.03,8.89,6.52,False,
450,Lorena Nascimento,Feminino,314.975.620-07,28,helenaalmeida@example.com,705,9.2,,,True,3.0
451,Sr. Bruno Gonçalves,Masculino,284.650.719-85,24,milenaazevedo@example.net,655,6.88,5.29,9.78,False,
452,Sra. Laura Aragão,Feminino,934.871.256-09,27,lorenateixeira@example.org,756,5.39,6.13,5.45,False,
453,Levi Nascimento,Masculino,980.634.175-93,22,ymoraes@example.com,652,7.27,7.23,8.49,False,
454,Lucas Gabriel das Neves,Masculino,235.941.678-28,28,brenda57@example.com,747,5.56,7.64,,True,5.0
455,Bruno da Mota,Masculino,179.534.826-73,25,da-costalais@example.com,643,9.83,5.16,5.11,False,
456,Caio Oliveira,Masculino,281.957.046-11,18,vgomes@example.net,735,6.35,5.76,5.44,False,
457,Davi Lucca Cavalcanti,Masculino,167.850.342-80,23,liviamonteiro@example.org,700,8.19,9.4,5.97,False,
458,Daniela Barbosa,Feminino,816.370.924-31,20,alexandrefreitas@example.org,703,5.18,9.72,9.18,False,
459,Ana Sophia Dias,Feminino,574.938.126-91,22,tgoncalves@example.com,694,5.19,9.52,5.36,False,
460,Sophia Monteiro,Feminino,462.903.581-89,28,ana-laurada-rosa@example.com,751,7.4,6.4,,True,6.0
461,Cauã Dias,Masculino,753.604.198-57,21,carlos-eduardoda-conceicao@example.net,667,7.85,7.47,9.97,False,
462,Samuel Barros,Masculino,612.438.795-64,23,icardoso@example.org,646,8.45,6.58,,True,5.0
463,Valentina Jesus,Feminino,621.798.405-94,21,eloah55@example.org,680,9.31,8.79,7.44,False,
464,Sr. Arthur Novaes,Masculino,065.217.498-11,28,emanuellymonteiro@example.org,700,9.1,9.61,,True,6.0
465,Luiz Gustavo Vieira,Masculino,293.841.765-91,28,larissanascimento@example.org,755,7.91,9.93,8.75,False,
466,Kamilly Campos,Feminino,389.475.012-04,22,alanapires@example.com,739,6.78,7.49,6.54,False,
467,Carolina Azevedo,Feminino,857.123.064-17,27,bryanazevedo@example.com,658,7.33,7.07,5.92,False,
468,Catarina Castro,Feminino,265.473.198-73,23,matheuscastro@example.net,722,9.98,9.04,5.33,False,
469,Dra. Joana Carvalho,Feminino,702.415.869-76,28,jpereira@example.com,659,9.7,6.54,6.22,False,
470,Evelyn Cunha,Feminino,612.859.734-37,19,mourajuan@example.com,749,6.65,8.11,5.51,False,
471,Juliana Freitas,Feminino,630.582.749-47,26,emanuelribeiro@example.com,791,,,,True,2.0
472,Ana Julia Martins,Feminino,364.908.175-00,24,luiza81@example.org,692,,,,True,1.0
473,João Pedro Viana,Masculino,316.890.472-40,23,ana-sophia60@example.net,657,5.06,,,True,4.0
474,Vicente da Cruz,Masculino,271.635.984-91,22,souzayago@example.com,738,9.53,8.21,7.98,False,
475,Vitor Gabriel Nunes,Masculino,492.165.037-34,18,limajoaquim@example.com,781,8.58,5.87,7.18,False,
476,Sr. Otávio da Luz,Masculino,385.062.179-03,19,jsales@example.org,733,7.12,9.3,6.57,False,
477,Dra. Maria Eduarda Fernandes,Feminino,214.079.853-88,20,pintoemanuel@example.com,668,9.83,8.07,,True,6.0
478,Vitor Gabriel da Luz,Masculino,327.580.469-38,28,beatriz13@example.com,692,6.66,9.87,8.91,False,
479,Amanda Cunha,Feminino,780.349.512-50,23,da-rochaana-julia@example.net,755,9.91,6.34,5.47,False,
480,Vitor Hugo Barros,Masculino,073.614.589-39,21,gustavo-henriquecarvalho@example.org,661,6.57,5.42,9.27,False,
481,Luiz Gustavo Ferreira,Masculino,907.238.564-00,24,vitoria86@example.org,796,5.52,9.64,5.2,False,
482,Maria Vitória Correia,Feminino,423.016.597-80,24,zcaldeira@example.org,684,5.59,,,True,3.0
483,Bernardo Ribeiro,Masculino,875.061.392-86,24,henriquecosta@example.org,744,6.39,,,True,4.0
484,Maria Alice da Rocha,Feminino,489.672.315-55,26,dlopes@example.com,785,9.4,9.43,8.92,False,
485,Pedro Henrique Cavalcanti,Masculino,795.468.302-83,26,rebeca24@example.com,747,8.09,6.16,9.44,False,
486,Yago Costela,Masculino,267.815.309-68,18,arthur21@example.net,653,7.59,9.13,9.67,False,
487,Murilo Fernandes,Masculino,857.629.041-30,23,caua30@example.org,655,5.66,6.84,6.57,False,
488,Ana Lívia Rocha,Feminino,538.920.176-03,19,mariananascimento@example.org,775,7.86,9.62,9.04,False,
489,Emilly da Luz,Feminino,183.902.765-77,21,heloisafogaca@example.org,744,9.45,9.75,7.1,False,
490,Fernanda Costela,Feminino,514.023.967-16,25,castroluna@example.org,698,7.01,8.25,7.6,False,
491,Daniel da Cunha,Masculino,048.769.135-01,27,isaaccunha@example.org,660,7.7,7.62,9.21,False,
492,Paulo Sales,Masculino,792.350.641-80,25,vfogaca@example.org,751,9.73,9.5,,True,6.0
493,Beatriz Campos,Feminino,193.246.087-03,21,ana-livia76@example.net,680,8.79,5.96,7.56,False,
494,Nicolas Jesus,Masculino,261.974.358-37,26,maysamoraes@example.net,653,5.11,,,True,3.0
495,Elisa Barbosa,Feminino,936.548.721-82,25,xduarte@example.org,777,9.5,6.61,6.27,False,
496,Renan Azevedo,Masculino,523.047.896-92,19,ferreirarafaela@example.org,755,,,,True,1.0
497,Alícia Silva,Feminino,519.648.720-49,27,zcampos@example.org,687,5.11,8.2,6.66,False,
498,Pedro Miguel da Mota,Masculino,269.783.150-95,20,manuela39@example.org,690,6.42,8.01,,True,6.0
499,Emanuelly Viana,Feminino,413.906.258-42,23,silveiraian@example.net,665,7.37,8.52,,True,6.0
500,Emanuel da Luz,Masculino,218.407.396-22,25,da-cruzjuan@example.org,673,,,,True,2.0
501,Luiza Cardoso,Feminino,837.425.069-00,24,da-rochamaria@example.com,742,6.24,,,True,4.0
502,Alícia Fernandes,Feminino,074.136.528-62,19,ian25@example.net,705,9.27,9.74,,True,5.0
503,João Guilherme Freitas,Masculino,329.615.708-59,24,das-nevesbenicio@example.org,710,5.19,9.99,5.44,False,
504,Nicolas Araújo,Masculino,175.264.890-02,22,pintolivia@example.org,775,8.07,5.74,7.99,False,
505,Ryan Cardoso,Masculino,426.183.570-35,21,pirescaroline@example.net,780,7.87,5.35,5.27,False,
506,Srta. Nicole Caldeira,Feminino,967.524.183-73,21,marcelosales@example.net,679,6.06,5.41,8.52,False,
507,Dr. Lucca Farias,Masculino,750.394.621-07,21,agathacardoso@example.com,776,8.87,8.42,,True,5.0
